Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,5190.0,4805.0,4850.0,5091.2001953125,5408482.0,4678.0712890625
2009-01-05,5150.0,4748.2998046875,4748.2998046875,5149.0,748469.0,4731.181640625
2009-01-06,5350.0,5149.0,5149.0,5337.10009765625,331189.0,4904.01708984375
2009-01-07,5300.0,5160.0,5300.0,5198.89990234375,166214.0,4777.03076171875
2009-01-08,5250.0,5109.0,5200.0,5250.0,118183.0,4823.98583984375
2009-01-09,5250.0,5150.0,5250.0,5187.7001953125,116847.0,4766.74267578125
2009-01-12,5200.0,4910.2001953125,5188.0,4969.39990234375,1046727.0,4566.154296875
2009-01-13,5088.0,4900.0,4970.0,5000.10009765625,336003.0,4594.36474609375
2009-01-14,5001.0,4870.0,5001.0,4947.2001953125,244152.0,4545.75537109375
2009-01-15,5100.0,4900.0,4900.0,5087.60009765625,288800.0,4674.76318359375
2009-01-16,5200.0,5000.0,5100.0,5099.0,80214.0,4685.23876953125
2009-01-19,5100.0,5049.0,5050.0,5070.10009765625,56720.0,4658.68310546875
2009-01-20,5100.0,5040.0,5070.0,5100.0,329098.0,4686.1572265625
2009-01-21,5100.10009765625,5035.0,5095.0,5100.0,104420.0,4686.1572265625
2009-01-22,5200.0,5099.0,5101.0,5189.2001953125,543370.0,4768.119140625
2009-01-23,5100.0,5000.0,5000.0,5085.10009765625,287755.0,4672.466796875
2009-01-26,5100.0,5080.0,5080.0,5085.0,135856.0,4672.3740234375
2009-01-27,5150.0,5035.0,5085.0,5080.0,377227.0,4667.7802734375
2009-01-28,5200.0,5110.0,5080.0,5130.0,188915.0,4713.7216796875
2009-01-29,5100.0,5030.0,5100.0,5044.5,221644.0,4635.1611328125
2009-01-30,5050.10009765625,4960.0,5050.0,4986.89990234375,162659.0,4582.2333984375
2009-02-02,4990.0,4900.0,4990.0,4938.39990234375,227147.0,4537.67041015625
2009-02-03,5199.0,4902.89990234375,4939.0,5138.0,227170.0,4721.07373046875
2009-02-04,5325.0,5180.0,5199.0,5251.5,461793.0,4825.36279296875
2009-02-05,5500.0,5200.0,5199.0,5473.7998046875,567285.0,5029.625
2009-02-06,5725.0,5470.5,5470.5,5600.0,320805.0,5145.58349609375
2009-02-09,5880.0,5470.0,5550.0,5843.2998046875,559425.0,5369.1416015625
2009-02-10,5880.0,5550.0,5844.0,5626.7001953125,647241.0,5170.1171875
2009-02-11,5650.0,5550.0,5650.0,5573.5,132978.0,5121.23486328125
2009-02-12,5570.0,5350.0,5570.0,5380.0,275103.0,4943.43701171875
2009-02-13,5445.0,5200.0,5445.0,5388.0,264297.0,4950.78662109375
2009-02-16,5580.0,5300.0,5400.0,5504.7001953125,104186.0,5058.01806640625
2009-02-17,5450.0,5305.0,5400.0,5400.60009765625,105135.0,4962.365234375
2009-02-18,5450.0,5350.0,5450.0,5370.10009765625,90628.0,4934.34033203125
2009-02-19,5480.0,5400.0,5400.0,5441.0,644103.0,4999.48681640625
2009-02-20,5441.0,5330.0,5441.0,5341.7001953125,177940.0,4908.2431640625
2009-02-23,5400.0,5249.0,5350.0,5249.89990234375,65511.0,4823.8935546875
2009-02-24,5200.0,5049.0,5200.0,5083.7998046875,133752.0,4671.27197265625
2009-02-25,5150.0,4990.0,5149.0,5042.0,334367.0,4632.86376953125
2009-02-26,5100.0,4950.0,5060.0,4950.89990234375,137680.0,4549.15576171875
2009-02-27,4950.0,4780.0,4950.0,4805.60009765625,975787.0,4415.64697265625
2009-03-02,4805.60009765625,4681.0,4700.0,4699.0,763912.0,4317.69580078125
2009-03-03,4805.60009765625,4601.0,4711.0,4675.7001953125,166886.0,4296.2880859375
2009-03-04,4800.10009765625,4700.0,4711.0,4770.0,519831.0,4382.9345703125
2009-03-05,4747.0,4610.0,4725.0,4678.2001953125,458968.0,4298.5849609375
2009-03-06,4775.0,4620.0,4665.0,4650.0,373305.0,4272.67236328125
2009-03-09,4700.0,4599.0,4650.0,4700.0,249354.0,4318.615234375
2009-03-10,5000.0,4730.0,4760.0,4939.10009765625,364595.0,4538.31298828125
2009-03-11,5000.0,4850.0,4970.0,4900.0,243119.0,4502.3857421875
2009-03-12,5000.0,4850.0,4900.0,4910.2998046875,282757.0,4511.85009765625
2009-03-13,5000.0,4900.0,4920.10009765625,4913.5,177774.0,4514.7919921875
2009-03-16,5050.0,4913.10009765625,4913.5,5000.0,550181.0,4594.27294921875
2009-03-17,5030.0,4910.0,4910.0,5025.7998046875,377663.0,4617.97802734375
